sort,id,parent,scheme,context,domain,property,skos_exactMatch,rdfs_comment_en,skos_prefLabel_en,skos_altLabel_en,skos_hiddenLabel_en,skos_prefLabel_de,skos_altLabel_de,skos_prefLabel_fr,skos_altLabel_fr,skos_prefLabel_it,skos_altLabel_it,skos_definition_en
364,http://vocab.performing-arts.ch/fvfac,http://vocab.performing-arts.ch/fvaha,False,Object,,,,,HD-DVD,,,HD-DVD,,HD-DVD,,HD-DVD,,
365,http://vocab.performing-arts.ch/fvqpw,http://vocab.performing-arts.ch/fvaha,False,Object,,,,,VCD,Video CD,,VCD,,VCD,,VCD,,
366,http://vocab.performing-arts.ch/fvfce,http://vocab.performing-arts.ch/fvqpw,False,Object,,,,,SVCD,,,SVCD,,SVCD,,SVCD,,
367,http://vocab.performing-arts.ch/fvdgf,http://vocab.performing-arts.ch/fv,False,Object,,,,,digital file,,,digitale Datei,,fichier numérique,,file digitale,,
368,http://vocab.performing-arts.ch/fvonl,http://vocab.performing-arts.ch/fvdgf,False,Object,,,,,online,,,online,,online,,online,,
369,http://vocab.performing-arts.ch/cl,,True,Object,,rdau:P60558,,,color content,colour content,,,,,,,,
370,http://vocab.performing-arts.ch/clblw,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/blw,,black and white,,,,,,,,,
371,http://vocab.performing-arts.ch/clmul,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/mul,,color,,,,,,,,,
372,http://vocab.performing-arts.ch/clgry,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/gry,,gray scale,,,,,,,,,
373,http://vocab.performing-arts.ch/clhnd,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/hnd,,hand colored,,,,,,,,,
374,http://vocab.performing-arts.ch/clmix,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/mix,,mixed color,,,,,,,,,
375,http://vocab.performing-arts.ch/clone,http://vocab.performing-arts.ch/cl,False,Object,,,http://id.loc.gov/vocabulary/mcolor/one,,one color,,,,,,,,,
376,http://vocab.performing-arts.ch/bs,,True,Object,,rdau:P60349,,,broadcast standard,,,,,,,,,
377,http://vocab.performing-arts.ch/bshdt,http://vocab.performing-arts.ch/bs,False,Object,,,rdabs:1001; http://id.loc.gov/vocabulary/mbroadstd/hdtv,,HDTV,,,HDTV,,TVHD,,HDTV,,
378,http://vocab.performing-arts.ch/bsnts,http://vocab.performing-arts.ch/bs,False,Object,,,rdabs:1002; http://id.loc.gov/vocabulary/mbroadstd/ntsc,,NTSC,,,NTSC,,NTSC,,NTSC,,
379,http://vocab.performing-arts.ch/bspal,http://vocab.performing-arts.ch/bs,False,Object,,,rdabs:1003; http://id.loc.gov/vocabulary/mbroadstd/pal,,PAL,,,PAL,,PAL,,PAL,,
380,http://vocab.performing-arts.ch/bsscm,http://vocab.performing-arts.ch/bs,False,Object,,,rdabs:1004; http://id.loc.gov/vocabulary/mbroadstd/secam,,SECAM,,,SECAM,,SECAM,,SECAM,,
381,http://vocab.performing-arts.ch/sf,,True,Object,,ebucore:scanningFormat,,,video scanning format,,,,,,,,,
382,http://vocab.performing-arts.ch/sfint,http://vocab.performing-arts.ch/sf,False,Object,,,,,interlaced,,,,,,,,,
